horizon,frames,model,split,samples,accuracy,top2_accuracy,macro_f1,log_loss,changed_action_samples,changed_action_accuracy,unchanged_action_samples,unchanged_action_accuracy
100ms,6,two_stage,validation,3112,0.7872750642673522,0.9196658097686375,0.74129522482201,0.5547540633702974,971,0.41503604531410915,2141,0.9560952825782345
100ms,6,two_stage,test,6484,0.8141579272054288,0.9376927822331894,0.7423166431783541,0.4959099245967492,1950,0.5,4534,0.949272165857962
100ms,6,two_stage_fep,validation,3112,0.7824550128534704,0.9187017994858612,0.7336629803340768,0.5531956199458574,971,0.40679711637487126,2141,0.9528257823446987
100ms,6,two_stage_fep,test,6484,0.8197100555212832,0.9383096853793954,0.7473403183000927,0.48890570814923995,1950,0.5143589743589744,4534,0.9510366122629025
100ms,6,catboost,validation,3112,0.7882390745501285,0.922879177377892,0.7401585257352429,0.5549599025657911,971,0.411946446961895,2141,0.9588977113498365
100ms,6,catboost,test,6484,0.8130783466995681,0.9432449105490438,0.7419698572625959,0.5062593582175674,1950,0.48717948717948717,4534,0.9532421702690781
100ms,6,hsmm_duration,validation,3112,0.6960154241645244,0.8390102827763496,0.6554570672359268,0.8021425863207595,971,0.06591143151390319,2141,0.9817842129845866
100ms,6,hsmm_duration,test,6484,0.7031153608883405,0.8119987661937076,0.6298297014094209,0.8066861795118327,1950,0.031794871794871796,4534,0.9918394353771505
100ms,6,context_B,validation,3112,0.5713367609254498,0.8329048843187661,0.37695315589405115,0.9525212995544464,971,0.15036045314109167,2141,0.762260625875759
100ms,6,context_B,test,6484,0.5971622455274522,0.8542566317088217,0.3766500071239582,0.9560127357526517,1950,0.1158974358974359,4534,0.80414644905161
100ms,6,stacking,validation,3112,0.7956298200514139,0.9187017994858612,0.7488787057077058,0.5664768062053749,971,0.41503604531410915,2141,0.96823914058851
100ms,6,stacking,test,6484,0.8186304750154226,0.9335286859962986,0.7438259725352232,0.5101707991912358,1950,0.4938461538461538,4534,0.9583149536832819
200ms,12,fep_efe,validation,2956,0.4895128552097429,0.6089309878213802,0.24272099564652008,1.3401768735034685,1458,0.2832647462277092,1498,0.6902536715620827
200ms,12,fep_efe,test,6286,0.5124085268851416,0.5860642698059179,0.24732366338065512,1.302211203731844,2769,0.28746840014445646,3517,0.6895081034972989
200ms,12,fep_generative,validation,2956,0.42050067658998647,0.6786197564276049,0.2725675875861425,1.296963322342739,1458,0.05761316872427984,1498,0.7736982643524699
200ms,12,fep_generative,test,6286,0.481228125994273,0.7497613744829781,0.29644786652422583,1.216984352090526,2769,0.05922715781870711,3517,0.8134773955075348
200ms,12,xgboost,validation,2956,0.7192151556156969,0.8697564276048715,0.6563956797516057,0.7159898741420764,1458,0.5384087791495199,1498,0.8951935914552737
200ms,12,xgboost,test,6286,0.7554883868915049,0.9139357301940821,0.6664293887570862,0.6156855942259114,2769,0.5568797399783315,3517,0.911856696047768
200ms,12,xgboost_fep,validation,2956,0.7236129905277402,0.8744925575101489,0.6609857330302937,0.7050282675008573,1458,0.5390946502057613,1498,0.9032042723631508
200ms,12,xgboost_fep,test,6286,0.7659879096404709,0.9163219853643016,0.6803688044474197,0.6043446424030199,2769,0.5893824485373781,3517,0.9050326983224339
200ms,12,two_stage,validation,2956,0.7117726657645467,0.878552097428958,0.6432673078385541,0.7077611595144704,1458,0.5301783264746228,1498,0.8885180240320427
200ms,12,two_stage,test,6286,0.7647152402163538,0.9107540566337894,0.6804023592035905,0.6152913193771419,2769,0.5814373420007223,3517,0.9090133636622121
200ms,12,two_stage_fep,validation,2956,0.7144790257104194,0.8728010825439784,0.648395086603271,0.7157023390646928,1458,0.5384087791495199,1498,0.8858477970627503
200ms,12,two_stage_fep,test,6286,0.7613744829780464,0.9115494750238625,0.68131403947572,0.6214970294099689,2769,0.5767425063199711,3517,0.9067386977537674
200ms,12,catboost,validation,2956,0.7202300405953992,0.8734776725304465,0.6560228586822725,0.7165008825658185,1458,0.5315500685871056,1498,0.9038718291054739
200ms,12,catboost,test,6286,0.7328985046134266,0.9147311485841553,0.6407262648069194,0.6502326720877087,2769,0.49765258215962443,3517,0.918112027295991
200ms,12,hsmm_duration,validation,2956,0.5145466847090663,0.7182002706359946,0.43823213850913073,1.0790498173746423,1458,0.06858710562414266,1498,0.9485981308411215
200ms,12,hsmm_duration,test,6286,0.566815144766147,0.7626471524021635,0.45193560886998513,1.0412134177174825,2769,0.04080895630191405,3517,0.9809496730167757
200ms,12,context_B,validation,2956,0.44993234100135315,0.7077131258457375,0.2818593021037975,1.2320154469186118,1458,0.13443072702331962,1498,0.7570093457943925
200ms,12,context_B,test,6286,0.5136811963092587,0.7653515749284123,0.2991530899901989,1.1455831272164698,2769,0.17804261466233298,3517,0.7779357406880865
200ms,12,stacking,validation,2956,0.7209066305818674,0.8558863328822733,0.6599239198986361,0.7261051752489753,1458,0.5411522633744856,1498,0.8958611481975968
200ms,12,stacking,test,6286,0.7488068724148902,0.9093223035316577,0.6579718805697237,0.6516758626979555,2769,0.5236547490068617,3517,0.9260733579755474
300ms,18,fep_efe,validation,2800,0.4085714285714286,0.5625,0.11602434077079107,1.4241378861041945,1693,0.36562315416420554,1107,0.4742547425474255
300ms,18,fep_efe,test,6088,0.41967805519053875,0.5780223390275953,0.11824597940529909,1.3542283075050827,3253,0.3264678758069474,2835,0.52663139329806
300ms,18,fep_generative,validation,2800,0.31392857142857145,0.6267857142857143,0.20012075041363636,1.4284018619656627,1693,0.027761370348493797,1107,0.7515808491418248
300ms,18,fep_generative,test,6088,0.41458607095926414,0.7005584756898817,0.25101829810987125,1.3086997889084824,3253,0.06762988011066708,2835,0.8126984126984127
300ms,18,xgboost,validation,2800,0.6875,0.8517857142857143,0.6070853603686113,0.7885844148023057,1693,0.5794447725930302,1107,0.8527551942186089
300ms,18,xgboost,test,6088,0.7169842312746386,0.8930683311432326,0.6218148783621699,0.7115324049856723,3253,0.5853058715032278,2835,0.8680776014109347
300ms,18,xgboost_fep,validation,2800,0.6925,0.8492857142857143,0.6148858316771324,0.7880539565873872,1693,0.5865327820437094,1107,0.8545618789521229
300ms,18,xgboost_fep,test,6088,0.7247043363994744,0.8920827858081471,0.6298608834776389,0.7011910845595662,3253,0.5908392253304642,2835,0.8783068783068783
300ms,18,two_stage,validation,2800,0.6878571428571428,0.8525,0.6084713052753365,0.8084671623803066,1693,0.600708800945068,1107,0.8211382113821138
300ms,18,two_stage,test,6088,0.7253613666228647,0.8838699080157687,0.6340965201456202,0.7136496651960532,3253,0.5868429142330157,2835,0.8843033509700177
300ms,18,two_stage_fep,validation,2800,0.6892857142857143,0.85,0.61050017713687,0.8053465388632872,1693,0.6001181334908446,1107,0.8256549232158988
300ms,18,two_stage_fep,test,6088,0.7159986859395532,0.8860052562417872,0.6281418010915507,0.7184088918204171,3253,0.5803873347679065,2835,0.8716049382716049
300ms,18,catboost,validation,2800,0.6832142857142857,0.8517857142857143,0.598872728511412,0.7911980216174127,1693,0.5676314235085647,1107,0.8599819331526649
300ms,18,catboost,test,6088,0.7094283837056504,0.8909329829172142,0.6077863999745834,0.744949910130948,3253,0.5490316630802337,2835,0.8934744268077601
300ms,18,hsmm_duration,validation,2800,0.5128571428571429,0.6857142857142857,0.33997142491851134,1.2299514031470091,1693,0.2959243945658594,1107,0.8446251129177959
300ms,18,hsmm_duration,test,6088,0.5353153745072273,0.7278252299605782,0.3506559912002145,1.1685830859991857,3253,0.23578235474946205,2835,0.8790123456790123
300ms,18,context_B,validation,2800,0.35678571428571426,0.5953571428571428,0.2171461675950928,1.4065728746788704,1693,0.10868281157708211,1107,0.7362240289069557
300ms,18,context_B,test,6088,0.4503942181340342,0.6974375821287779,0.2556911267597293,1.2686651643046831,3253,0.1647709806332616,2835,0.7781305114638448
300ms,18,stacking,validation,2800,0.6692857142857143,0.8403571428571428,0.5414527695023834,0.8095516434785479,1693,0.5321913762551683,1107,0.8789521228545619
300ms,18,stacking,test,6088,0.7132063074901446,0.8945466491458607,0.558433935358048,0.7418140911150392,3253,0.5496464801721488,2835,0.9008818342151675
500ms,30,fep_efe,validation,2492,0.41091492776886035,0.5959069020866774,0.11649601820250284,1.4488894726104706,1722,0.3989547038327526,770,0.43766233766233764
500ms,30,fep_efe,test,5696,0.4201193820224719,0.6207865168539326,0.11833353937445915,1.3862691752367784,3454,0.33671105964099596,2242,0.5486173059768065
500ms,30,fep_generative,validation,2492,0.3996789727126806,0.6324237560192616,0.17722201765669254,1.4740060258633383,1722,0.2659698025551684,770,0.6987012987012987
500ms,30,fep_generative,test,5696,0.444873595505618,0.667310393258427,0.19870949359523235,1.3384964321750428,3454,0.25303995367689636,2242,0.7404103479036575
500ms,30,xgboost,validation,2492,0.6729534510433387,0.8270465489566613,0.5203222853368195,0.8728888451025453,1722,0.624274099883856,770,0.7818181818181819
500ms,30,xgboost,test,5696,0.6976825842696629,0.8792134831460674,0.5423681942554222,0.8269255895492971,3454,0.603358425014476,2242,0.8429973238180196
500ms,30,xgboost_fep,validation,2492,0.6761637239165329,0.8302568218298555,0.5313158436931434,0.8663608602446929,1722,0.6329849012775842,770,0.7727272727272727
500ms,30,xgboost_fep,test,5696,0.6961025280898876,0.8765800561797753,0.5501923788930492,0.812754719698541,3454,0.5975680370584829,2242,0.8479036574487065
500ms,30,two_stage,validation,2492,0.6906099518459069,0.8282504012841091,0.555155779560401,0.8808429414555103,1722,0.6382113821138211,770,0.8077922077922078
500ms,30,two_stage,test,5696,0.6904845505617978,0.8635884831460674,0.5257551596941253,0.8309385914555772,3454,0.588303416328894,2242,0.8479036574487065
500ms,30,two_stage_fep,validation,2492,0.6914125200642055,0.8358747993579454,0.552693119079985,0.8770010385360665,1722,0.6353077816492451,770,0.8168831168831169
500ms,30,two_stage_fep,test,5696,0.6946980337078652,0.8727176966292135,0.527144690449519,0.8337373293952457,3454,0.5906195715112913,2242,0.8550401427297056
500ms,30,catboost,validation,2492,0.6717495987158909,0.8246388443017657,0.5199013560800253,0.8959266659429149,1722,0.6074332171893148,770,0.8155844155844156
500ms,30,catboost,test,5696,0.6697682584269663,0.8663974719101124,0.4874484131186222,0.8533725198440629,3454,0.5596409959467284,2242,0.83942908117752
500ms,30,hsmm_duration,validation,2492,0.4875601926163724,0.7054574638844302,0.28674367672504136,1.3377934232407063,1722,0.3641114982578397,770,0.7636363636363637
500ms,30,hsmm_duration,test,5696,0.4864817415730337,0.6780196629213483,0.27831428023619104,1.253998230890967,3454,0.2973364215402432,2242,0.7778768956289027
500ms,30,context_B,validation,2492,0.3017656500802568,0.6247993579454254,0.17039904462916783,1.492628217975098,1722,0.16260162601626016,770,0.612987012987013
500ms,30,context_B,test,5696,0.40344101123595505,0.6660814606741573,0.21077495676960495,1.346409790549779,3454,0.20903300521134915,2242,0.7029438001784122
500ms,30,stacking,validation,2492,0.6665329052969502,0.8166131621187801,0.5025054032112154,0.8772064405470873,1722,0.6138211382113821,770,0.7844155844155845
500ms,30,stacking,test,5696,0.6799508426966292,0.8616573033707865,0.5126322314543581,0.8591080856226446,3454,0.5862767805442964,2242,0.8242640499553969
1s,60,fep_efe,validation,1921,0.3368037480478917,0.45549193128578863,0.10077881619937694,1.5448520111792865,1639,0.33007931665649787,282,0.375886524822695
1s,60,fep_efe,test,4834,0.3965659908978072,0.554199420769549,0.11358317286327953,1.4516909762697807,3463,0.33958995090961597,1371,0.5404814004376368
1s,60,fep_generative,validation,1921,0.3368037480478917,0.6028110359187923,0.10077881619937694,1.6117793287904685,1639,0.33007931665649787,282,0.375886524822695
1s,60,fep_generative,test,4834,0.3965659908978072,0.6216383947041787,0.11358317286327953,1.4438165258038307,3463,0.33958995090961597,1371,0.5404814004376368
1s,60,xgboost,validation,1921,0.5637688703800104,0.76730869338886,0.4519935312217176,1.13028373546107,1639,0.6137888956680903,282,0.2730496453900709
1s,60,xgboost,test,4834,0.5715763342987175,0.788580885395118,0.4227966209020816,1.1004551375294123,3463,0.5524112041582443,1371,0.6199854121079504
1s,60,xgboost_fep,validation,1921,0.566892243623113,0.7652264445601249,0.4530143912141226,1.1219680675578318,1639,0.6192800488102501,282,0.2624113475177305
1s,60,xgboost_fep,test,4834,0.5748862225899876,0.7970624741414978,0.4353519604194506,1.0837975855713418,3463,0.5547213398787179,1371,0.6258205689277899
1s,60,two_stage,validation,1921,0.5611660593440916,0.7501301405517959,0.4536436668090583,1.1418255574063343,1639,0.6546674801708359,282,0.01773049645390071
1s,60,two_stage,test,4834,0.5604054613156806,0.8007860984691767,0.43809658760932624,1.1432058441377322,3463,0.625180479353162,1371,0.3967906637490883
1s,60,two_stage_fep,validation,1921,0.5627277459656429,0.7558563248308173,0.45572659248960673,1.1632884120416478,1639,0.6583282489322758,282,0.0070921985815602835
1s,60,two_stage_fep,test,4834,0.5401323955316508,0.8022341745966074,0.4349287778936806,1.1401531689690985,3463,0.6326884204447011,1371,0.3063457330415755
1s,60,catboost,validation,1921,0.5835502342529932,0.7584591358667361,0.44600361342735456,1.1421464351820636,1639,0.6314826113483831,282,0.3049645390070922
1s,60,catboost,test,4834,0.5614398014067026,0.7978899462143153,0.39061339156541947,1.0997311692745053,3463,0.5362402541149293,1371,0.62509117432531
1s,60,hsmm_duration,validation,1921,0.33784487246225925,0.629359708485164,0.10594005222677605,1.479547639096642,1639,0.3343502135448444,282,0.35815602836879434
1s,60,hsmm_duration,test,4834,0.3928423665701283,0.6261894911046753,0.11574819684271938,1.4498931525624121,3463,0.34190008663008953,1371,0.5215171407731582
