horizon,milliseconds,frames,model,step,step_time_ms_at_60fps,samples,correct,accuracy
2000ms,2000,120,fep,65,1083.3333333333333,3075,1067,0.3469918699186992
2000ms,2000,120,fep,66,1100.0,3075,1064,0.3460162601626016
2000ms,2000,120,fep,67,1116.6666666666667,3075,1061,0.34504065040650406
2000ms,2000,120,fep,68,1133.3333333333333,3075,1057,0.343739837398374
2000ms,2000,120,fep,69,1150.0,3075,1053,0.34243902439024393
2000ms,2000,120,fep,70,1166.6666666666667,3075,1049,0.3411382113821138
2000ms,2000,120,fep,71,1183.3333333333333,3075,1047,0.3404878048780488
2000ms,2000,120,fep,72,1200.0,3075,1046,0.34016260162601625
2000ms,2000,120,fep,73,1216.6666666666667,3075,1044,0.33951219512195124
2000ms,2000,120,fep,74,1233.3333333333333,3075,1041,0.3385365853658537
2000ms,2000,120,fep,75,1250.0,3075,1036,0.33691056910569106
2000ms,2000,120,fep,76,1266.6666666666667,3075,1033,0.3359349593495935
2000ms,2000,120,fep,77,1283.3333333333333,3075,1033,0.3359349593495935
2000ms,2000,120,fep,78,1300.0,3075,1034,0.336260162601626
2000ms,2000,120,fep,79,1316.6666666666667,3075,1035,0.33658536585365856
2000ms,2000,120,fep,80,1333.3333333333333,3075,1033,0.3359349593495935
2000ms,2000,120,fep,81,1350.0,3075,1028,0.3343089430894309
2000ms,2000,120,fep,82,1366.6666666666667,3075,1024,0.3330081300813008
2000ms,2000,120,fep,83,1383.3333333333333,3075,1022,0.33235772357723575
2000ms,2000,120,fep,84,1400.0,3075,1020,0.33170731707317075
2000ms,2000,120,fep,85,1416.6666666666667,3075,1018,0.3310569105691057
2000ms,2000,120,fep,86,1433.3333333333333,3075,1016,0.33040650406504063
2000ms,2000,120,fep,87,1450.0,3075,1023,0.3326829268292683
2000ms,2000,120,fep,88,1466.6666666666667,3075,1027,0.3339837398373984
2000ms,2000,120,fep,89,1483.3333333333333,3075,1032,0.335609756097561
2000ms,2000,120,fep,90,1500.0,3075,1036,0.33691056910569106
2000ms,2000,120,fep,91,1516.6666666666667,3075,1038,0.3375609756097561
2000ms,2000,120,fep,92,1533.3333333333333,3077,1040,0.3379915502112447
2000ms,2000,120,fep,93,1550.0,3079,1041,0.33809678467034754
2000ms,2000,120,fep,94,1566.6666666666667,3081,1040,0.33755274261603374
2000ms,2000,120,fep,95,1583.3333333333333,3083,1038,0.3366850470321116
2000ms,2000,120,fep,96,1600.0,3085,1038,0.33646677471636954
2000ms,2000,120,fep,97,1616.6666666666667,3087,1036,0.3356009070294785
2000ms,2000,120,fep,98,1633.3333333333333,3089,1036,0.33538361929426996
2000ms,2000,120,fep,99,1650.0,3091,1034,0.33451957295373663
2000ms,2000,120,fep,100,1666.6666666666667,3093,1034,0.33430326543808603
2000ms,2000,120,fep,101,1683.3333333333333,3095,1036,0.33473344103392566
2000ms,2000,120,fep,102,1700.0,3097,1037,0.3348401679044236
2000ms,2000,120,fep,103,1716.6666666666667,3099,1041,0.33591481122942884
2000ms,2000,120,fep,104,1733.3333333333333,3101,1047,0.33763302160593356
2000ms,2000,120,fep,105,1750.0,3103,1053,0.3393490170802449
2000ms,2000,120,fep,106,1766.6666666666667,3105,1063,0.3423510466988728
2000ms,2000,120,fep,107,1783.3333333333333,3107,1074,0.3456710653363373
2000ms,2000,120,fep,108,1800.0,3109,1084,0.3486651656481184
2000ms,2000,120,fep,109,1816.6666666666667,3111,1093,0.3513339762134362
2000ms,2000,120,fep,110,1833.3333333333333,3113,1103,0.3543205910697077
2000ms,2000,120,fep,111,1850.0,3115,1114,0.3576243980738363
2000ms,2000,120,fep,112,1866.6666666666667,3117,1126,0.3612447866538338
2000ms,2000,120,fep,113,1883.3333333333333,3119,1134,0.36357806989419683
2000ms,2000,120,fep,114,1900.0,3121,1145,0.3668695930791413
2000ms,2000,120,fep,115,1916.6666666666667,3123,1158,0.37079731027857826
2000ms,2000,120,fep,116,1933.3333333333333,3125,1171,0.37472
2000ms,2000,120,fep,117,1950.0,3127,1186,0.37927726255196675
2000ms,2000,120,fep,118,1966.6666666666667,3129,1200,0.3835091083413231
2000ms,2000,120,fep,119,1983.3333333333333,3131,1213,0.3874161609709358
2000ms,2000,120,fep,120,2000.0,3133,1227,0.3916374082349186
3000ms,3000,180,xgboost,1,16.666666666666668,1721,1641,0.9535153980244044
3000ms,3000,180,xgboost,2,33.333333333333336,1720,1531,0.8901162790697674
3000ms,3000,180,xgboost,3,50.0,1719,1449,0.8429319371727748
3000ms,3000,180,xgboost,4,66.66666666666667,1718,1370,0.7974388824214202
3000ms,3000,180,xgboost,5,83.33333333333333,1717,1293,0.7530576587070472
3000ms,3000,180,xgboost,6,100.0,1716,1226,0.7144522144522144
3000ms,3000,180,xgboost,7,116.66666666666667,1715,1160,0.6763848396501457
3000ms,3000,180,xgboost,8,133.33333333333334,1714,1098,0.6406067677946324
3000ms,3000,180,xgboost,9,150.0,1713,1045,0.6100408639813193
3000ms,3000,180,xgboost,10,166.66666666666666,1712,996,0.5817757009345794
3000ms,3000,180,xgboost,11,183.33333333333334,1711,949,0.554646405610754
3000ms,3000,180,xgboost,12,200.0,1710,910,0.5321637426900585
3000ms,3000,180,xgboost,13,216.66666666666666,1709,869,0.5084844938560562
3000ms,3000,180,xgboost,14,233.33333333333334,1708,824,0.48243559718969553
3000ms,3000,180,xgboost,15,250.0,1707,784,0.45928529584065614
3000ms,3000,180,xgboost,16,266.6666666666667,1706,746,0.4372801875732708
3000ms,3000,180,xgboost,17,283.3333333333333,1705,710,0.41642228739002934
3000ms,3000,180,xgboost,18,300.0,1704,680,0.39906103286384975
3000ms,3000,180,xgboost,19,316.6666666666667,1703,648,0.3805049911920141
3000ms,3000,180,xgboost,20,333.3333333333333,1702,619,0.363689776733255
3000ms,3000,180,xgboost,21,350.0,1701,583,0.3427395649617872
3000ms,3000,180,xgboost,22,366.6666666666667,1700,550,0.3235294117647059
3000ms,3000,180,xgboost,23,383.3333333333333,1699,539,0.31724543849323134
3000ms,3000,180,xgboost,24,400.0,1698,530,0.3121319199057715
3000ms,3000,180,xgboost,25,416.6666666666667,1697,529,0.3117265763111373
3000ms,3000,180,xgboost,26,433.3333333333333,1696,539,0.3178066037735849
3000ms,3000,180,xgboost,27,450.0,1695,545,0.3215339233038348
3000ms,3000,180,xgboost,28,466.6666666666667,1694,542,0.31995277449822906
3000ms,3000,180,xgboost,29,483.3333333333333,1694,537,0.3170011806375443
3000ms,3000,180,xgboost,30,500.0,1695,511,0.3014749262536873
3000ms,3000,180,xgboost,31,516.6666666666666,1696,505,0.2977594339622642
3000ms,3000,180,xgboost,32,533.3333333333334,1697,497,0.2928697701826753
3000ms,3000,180,xgboost,33,550.0,1698,484,0.2850412249705536
3000ms,3000,180,xgboost,34,566.6666666666666,1698,475,0.2797408716136631
3000ms,3000,180,xgboost,35,583.3333333333334,1698,470,0.2767962308598351
3000ms,3000,180,xgboost,36,600.0,1697,469,0.27637006482027104
3000ms,3000,180,xgboost,37,616.6666666666666,1696,465,0.27417452830188677
3000ms,3000,180,xgboost,38,633.3333333333334,1695,466,0.27492625368731566
3000ms,3000,180,xgboost,39,650.0,1694,466,0.27508854781582054
3000ms,3000,180,xgboost,40,666.6666666666666,1693,468,0.27643236857649145
3000ms,3000,180,xgboost,41,683.3333333333334,1692,468,0.2765957446808511
3000ms,3000,180,xgboost,42,700.0,1691,466,0.2755765819041987
3000ms,3000,180,xgboost,43,716.6666666666666,1690,468,0.27692307692307694
3000ms,3000,180,xgboost,44,733.3333333333334,1689,472,0.27945529899348726
3000ms,3000,180,xgboost,45,750.0,1688,485,0.28732227488151657
3000ms,3000,180,xgboost,46,766.6666666666666,1687,493,0.2922347362181387
3000ms,3000,180,xgboost,47,783.3333333333334,1686,497,0.2947805456702254
3000ms,3000,180,xgboost,48,800.0,1685,510,0.3026706231454006
3000ms,3000,180,xgboost,49,816.6666666666666,1684,514,0.30522565320665085
3000ms,3000,180,xgboost,50,833.3333333333334,1683,524,0.3113487819370172
3000ms,3000,180,xgboost,51,850.0,1682,521,0.3097502972651605
3000ms,3000,180,xgboost,52,866.6666666666666,1681,528,0.314098750743605
3000ms,3000,180,xgboost,53,883.3333333333334,1680,535,0.31845238095238093
3000ms,3000,180,xgboost,54,900.0,1679,535,0.3186420488385944
3000ms,3000,180,xgboost,55,916.6666666666666,1678,529,0.31525625744934443
3000ms,3000,180,xgboost,56,933.3333333333334,1677,515,0.30709600477042337
3000ms,3000,180,xgboost,57,950.0,1676,504,0.30071599045346065
3000ms,3000,180,xgboost,58,966.6666666666666,1674,492,0.2939068100358423
3000ms,3000,180,xgboost,59,983.3333333333334,1672,480,0.28708133971291866
3000ms,3000,180,xgboost,60,1000.0,1670,461,0.2760479041916168
3000ms,3000,180,xgboost,61,1016.6666666666666,1668,450,0.2697841726618705
3000ms,3000,180,xgboost,62,1033.3333333333333,1666,443,0.265906362545018
3000ms,3000,180,xgboost,63,1050.0,1665,437,0.26246246246246246
3000ms,3000,180,xgboost,64,1066.6666666666667,1664,439,0.26382211538461536
3000ms,3000,180,xgboost,65,1083.3333333333333,1664,450,0.2704326923076923
3000ms,3000,180,xgboost,66,1100.0,1664,460,0.2764423076923077
3000ms,3000,180,xgboost,67,1116.6666666666667,1664,469,0.28185096153846156
3000ms,3000,180,xgboost,68,1133.3333333333333,1664,465,0.27944711538461536
3000ms,3000,180,xgboost,69,1150.0,1664,455,0.2734375
3000ms,3000,180,xgboost,70,1166.6666666666667,1664,446,0.26802884615384615
3000ms,3000,180,xgboost,71,1183.3333333333333,1664,445,0.26742788461538464
3000ms,3000,180,xgboost,72,1200.0,1664,447,0.2686298076923077
3000ms,3000,180,xgboost,73,1216.6666666666667,1664,460,0.2764423076923077
3000ms,3000,180,xgboost,74,1233.3333333333333,1664,464,0.27884615384615385
3000ms,3000,180,xgboost,75,1250.0,1664,462,0.2776442307692308
3000ms,3000,180,xgboost,76,1266.6666666666667,1664,464,0.27884615384615385
3000ms,3000,180,xgboost,77,1283.3333333333333,1664,467,0.28064903846153844
3000ms,3000,180,xgboost,78,1300.0,1664,470,0.2824519230769231
3000ms,3000,180,xgboost,79,1316.6666666666667,1664,468,0.28125
3000ms,3000,180,xgboost,80,1333.3333333333333,1664,473,0.2842548076923077
3000ms,3000,180,xgboost,81,1350.0,1664,473,0.2842548076923077
3000ms,3000,180,xgboost,82,1366.6666666666667,1664,480,0.28846153846153844
3000ms,3000,180,xgboost,83,1383.3333333333333,1664,477,0.28665865384615385
3000ms,3000,180,xgboost,84,1400.0,1664,470,0.2824519230769231
3000ms,3000,180,xgboost,85,1416.6666666666667,1664,464,0.27884615384615385
3000ms,3000,180,xgboost,86,1433.3333333333333,1664,457,0.2746394230769231
3000ms,3000,180,xgboost,87,1450.0,1664,453,0.2722355769230769
3000ms,3000,180,xgboost,88,1466.6666666666667,1664,451,0.27103365384615385
3000ms,3000,180,xgboost,89,1483.3333333333333,1664,451,0.27103365384615385
3000ms,3000,180,xgboost,90,1500.0,1664,450,0.2704326923076923
3000ms,3000,180,xgboost,91,1516.6666666666667,1664,453,0.2722355769230769
3000ms,3000,180,xgboost,92,1533.3333333333333,1664,452,0.27163461538461536
3000ms,3000,180,xgboost,93,1550.0,1664,447,0.2686298076923077
3000ms,3000,180,xgboost,94,1566.6666666666667,1664,435,0.2614182692307692
3000ms,3000,180,xgboost,95,1583.3333333333333,1664,431,0.2590144230769231
3000ms,3000,180,xgboost,96,1600.0,1664,429,0.2578125
3000ms,3000,180,xgboost,97,1616.6666666666667,1664,418,0.2512019230769231
3000ms,3000,180,xgboost,98,1633.3333333333333,1664,407,0.24459134615384615
3000ms,3000,180,xgboost,99,1650.0,1664,399,0.23978365384615385
3000ms,3000,180,xgboost,100,1666.6666666666667,1664,393,0.2361778846153846
3000ms,3000,180,xgboost,101,1683.3333333333333,1664,387,0.2325721153846154
3000ms,3000,180,xgboost,102,1700.0,1664,378,0.22716346153846154
3000ms,3000,180,xgboost,103,1716.6666666666667,1664,377,0.2265625
3000ms,3000,180,xgboost,104,1733.3333333333333,1664,373,0.22415865384615385
3000ms,3000,180,xgboost,105,1750.0,1664,366,0.21995192307692307
3000ms,3000,180,xgboost,106,1766.6666666666667,1664,354,0.2127403846153846
